Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,House_Price
1360,2,1,1981,0.5996366396268330,0,5,262382.8522740560
4272,3,3,2016,4.7530138494020400,1,6,985260.854490162
3592,1,2,2016,3.634822720478260,0,9,777977.3901185810
966,1,2,1977,2.73066687604351,1,8,229698.9186636120
4926,2,1,1993,4.699072554837390,0,8,1041740.8589249000
3944,5,3,1990,2.475930043628730,2,8,879796.9835223780
3671,1,2,2012,4.911960066216670,0,1,814427.8614089890
3419,1,1,1972,2.805281407595680,1,1,703413.1109446800
630,3,3,1997,1.0142859649909100,1,8,173875.03721558500
2185,4,2,1981,3.9416043760667500,2,5,504176.5060593680
1269,2,2,2006,3.5550397628502800,1,9,335332.59275293900
2891,2,3,1982,3.9784402458751400,0,2,635097.3959198
2933,5,3,1973,4.781489129265570,2,9,701133.8041471170
1684,5,3,1988,3.9942018619295800,1,8,440726.2848162880
3885,2,3,1983,3.251014709974910,1,9,838719.430503504
4617,5,1,2005,4.3578900606237800,0,4,1019192.6613592000
3404,3,3,1977,3.529608977095390,0,1,735850.8123421570
974,2,2,1986,2.336535755716650,2,1,234261.64997473900
1582,5,2,1956,4.4852889390879800,1,5,396246.3588887450
3058,2,1,2017,1.498552073529680,0,2,672852.0519810000
2547,4,2,1986,3.715885737089260,2,8,586086.5685389100
3247,1,2,2005,4.467035547233410,1,10,740174.0146550780
1475,2,3,2014,3.790924338664830,1,5,370167.09090271500
2306,1,2,2014,3.637739385742360,2,5,530824.1967752120
689,5,1,1996,3.8868723233232600,2,2,227515.3002879810
3234,1,3,1969,2.5927486173529000,0,7,652166.1423658860
3505,2,3,1968,4.433768069706620,1,8,745670.6371477240
2399,4,1,1978,1.4154641381124100,1,10,513161.95119306400
1767,5,3,2009,1.073238872001530,1,1,432357.9061027440
2028,2,3,1967,1.784789510533300,2,2,434165.89663405100
3702,5,1,1984,2.892098285487470,0,10,809686.201143527
4056,3,3,1992,2.7975280793420200,1,4,883819.0911218560
4390,1,1,1960,4.1926944095446400,2,5,912468.0479046730
1146,3,1,1998,2.3205589538180800,1,2,281313.0614448490
3388,2,2,1987,2.679549918311790,0,1,705923.3148916190
2935,4,2,2013,0.5601545746672800,1,9,656980.4604282170
1100,5,3,2018,2.343826563993230,0,1,318266.2771320870
2863,1,3,1957,3.4149840482765400,0,4,582468.7977365240
2561,5,1,1983,0.5697874878196650,1,2,541967.633559251
741,2,3,1997,1.763968843338100,1,4,188531.42345710600
2541,5,1,2005,1.4358036168022500,0,8,565562.7504321400
3324,1,1,2014,0.688934430093147,2,8,697574.5556670320
3112,2,3,1980,2.6566704046154200,0,9,666733.4734616930
1863,5,1,1953,1.3177548195267000,1,5,376388.0216286440
1978,4,2,1999,3.8438669283412100,1,7,485380.95019563100
3056,2,3,2018,4.315675476935070,2,3,735678.4622017290
1275,2,2,1979,2.9551333220111700,0,10,296291.0010075070
4514,4,3,2008,4.917683041345140,0,4,1046315.8960136600
534,3,1,2016,2.527153571617680,0,10,187508.58531168000
3652,1,3,1994,2.81015694601212,1,9,793995.2848757810
2455,3,2,1953,4.951479892809880,0,10,527393.5128875900
2085,5,1,1975,1.5419679618427200,2,10,467768.122943975
4443,4,3,1976,4.741456728546070,1,1,981190.782911222
3573,3,3,1995,0.6927689980360100,1,2,750481.7169351580
1521,2,3,2013,2.5087410061843800,0,5,377511.26849809100
3961,5,2,2000,0.815015804598796,2,3,866877.3524150970
3113,5,2,1999,3.7815563431113900,1,2,731331.6610567130
4343,3,3,1955,3.23784021146008,1,1,899382.8651584810
2000,3,1,2008,3.6798541856041800,0,10,485622.401919989
661,4,1,1964,2.1851617998560800,0,3,147601.55157708200
4797,1,2,1979,2.162668703141210,2,1,986006.861736761
